epoch,train_loss,val_loss
1,133.79539280721585,105.08284759521484
2,46.752654441415444,7.816539287567139
3,5.451429504237763,2.6846208572387695
4,1.5972322241900718,0.22773832082748413
5,0.9191134874134848,0.07128211110830307
6,0.923951021612507,0.13143876194953918
7,0.8513720125368197,0.05221487954258919
8,0.9191745421657823,0.06357714533805847
9,0.8968662635920799,0.05495324358344078
10,0.8138823566371447,0.05544896796345711
11,0.7996297960412012,0.05855432152748108
12,0.8533657495289633,0.07313870638608932
13,0.7668834120443423,0.07811082899570465
14,0.8714588700908504,0.07597102969884872
15,0.8093490143344827,0.050111446529626846
16,0.7800324232610938,0.0389895960688591
17,0.7673508361594318,0.060025058686733246
18,0.7795703231471859,0.04899195209145546
19,0.7197284224915178,0.04050150141119957
20,0.7034004338800091,0.037904538214206696
21,0.7448263788876468,0.04411682114005089
22,0.6844538670696624,0.04222286865115166
23,0.7408527658410269,0.07134127616882324
24,0.7318577545962922,0.07441684603691101
25,0.7169039992436971,0.034875765442848206
26,0.6909886925187829,0.04252259060740471
27,0.687679942340067,0.041750628501176834
28,0.7560863478543007,0.03886372596025467
29,0.6684656192178595,0.03900153189897537
30,0.6792302147982872,0.03612728789448738
31,0.7015518978850482,0.09490011632442474
32,0.62271960304208,0.0433586984872818
33,0.6776660488892908,0.056871164590120316
34,0.6658311486244202,0.041787318885326385
35,0.6733835331381184,0.05713191255927086
36,0.6750828746246965,0.04563373327255249
37,0.6639876602447197,0.0501551479101181
38,0.642740399870154,0.048792362213134766
39,0.6659503713862537,0.15302610397338867
40,0.6651469240449879,0.05928737297654152
